              moorFLPI Graph Text File V5.0 (BOS_spatial_1s_after4_adrenalin_P2_2_eine ROI.msf)
============================================================
1) Subject Information
Name	P1
Number
Date of Birth	01/01/1980
Address
Monitoring Date	16/11/2022
Monitoring Time	10:48:12
Operator
Comment
2) moorFLPI Information
Serial No	150
System Type	3
Laser Type	Infrared
Firmware Version	2.0
Data File Version	5.0
Camera Gain	131
Exposure Time	20.0 ms
Time Constant	3.0 sec
Measure Mode	Spatial
Kernal Size	5 x 5
Background Threshold	30AU
Image Resolution	748 x 576
Image Origin	0 x 0
Image Distance	248.6 mm
Image Size	185.1 mm x 142.6 mm
Sample Interval (Rate)	200 ms (  5 Hz)
3) Channel Table
Channel	Units	TC	Data Source
Mean F1	PU	-	ROI #1 - Flux Mean
4) Marker Table
(Ion current in micro-Amps, heater temperatures in degrees C, pressures in mmHg, deflations in mmHg/s)
Marker	Comments	Type	Elapsed Time	Ion Current	Temp1	Temp2	Pres Type	Pres Stage	Pressure	Deflation
Marker 1	Colour image acquired	Event	00:00:00.000	-	-	-	-	-	-	-
5) Trace Table
Contains   5 Hz values of selected channels.
Elapsed Time	Mean F1
00:00:00.000	207.4
00:00:00.200	212.0
00:00:00.400	218.4
00:00:00.600	229.6
00:00:00.800	231.3
00:00:01.000	237.9
00:00:01.200	241.1
00:00:01.400	242.3
00:00:01.600	245.9
00:00:01.800	250.1
00:00:02.000	249.3
00:00:02.200	249.8
00:00:02.400	251.1
00:00:02.600	251.5
00:00:02.800	254.8
00:00:03.000	255.7
00:00:03.200	255.3
00:00:03.400	257.3
00:00:03.600	257.0
00:00:03.800	254.1
00:00:04.000	252.7
00:00:04.200	257.7
00:00:04.400	255.6
00:00:04.600	252.2
00:00:04.800	253.0
00:00:05.000	251.7
00:00:05.200	250.4
00:00:05.400	252.4
00:00:05.600	258.0
00:00:05.800	258.5
00:00:06.000	263.1
00:00:06.200	269.4
00:00:06.400	266.8
00:00:06.600	266.1
00:00:06.800	267.6
00:00:07.000	267.6
00:00:07.200	267.7
00:00:07.400	269.4
00:00:07.600	268.9
00:00:07.800	265.8
00:00:08.000	267.2
00:00:08.200	264.8
00:00:08.400	259.7
00:00:08.600	259.7
00:00:08.800	257.8
00:00:09.000	253.7
00:00:09.200	251.9
00:00:09.400	252.2
00:00:09.600	254.0
00:00:09.800	254.2
00:00:10.000	256.5
00:00:10.200	260.4
00:00:10.400	258.8
00:00:10.600	259.0
00:00:10.800	258.5
00:00:11.000	257.2
00:00:11.200	259.5
00:00:11.400	259.6
00:00:11.600	258.7
00:00:11.800	261.2
00:00:12.000	260.7
00:00:12.200	258.2
00:00:12.400	264.2
00:00:12.600	287.1
00:00:12.800	316.2
00:00:13.000	357.6
00:00:13.200	385.6
00:00:13.400	403.1
00:00:13.600	405.4
00:00:13.800	400.7
00:00:14.000	396.6
00:00:14.200	387.6
00:00:14.400	374.3
00:00:14.600	360.3
00:00:14.800	349.2
00:00:15.000	344.9
00:00:15.200	373.0
00:00:15.400	414.2
00:00:15.600	416.1
00:00:15.800	410.7
00:00:16.000	401.2
00:00:16.200	390.3
00:00:16.400	383.6
00:00:16.600	373.5
00:00:16.800	362.7
00:00:17.000	396.9
00:00:17.200	475.2
00:00:17.400	559.5
00:00:17.600	605.9
00:00:17.800	687.6
00:00:18.000	738.4
00:00:18.200	720.0
00:00:18.400	703.3
00:00:18.600	682.1
00:00:18.800	659.9
00:00:19.000	640.9
00:00:19.200	622.6
00:00:19.400	599.4
00:00:19.600	588.4
00:00:19.800	572.5
00:00:20.000	556.0
00:00:20.200	547.2
00:00:20.400	534.2
00:00:20.600	517.5
00:00:20.800	506.6
00:00:21.000	502.4
00:00:21.200	500.3
00:00:21.400	487.8
00:00:21.600	478.4
00:00:21.800	465.1
00:00:22.000	450.9
00:00:22.200	446.1
00:00:22.400	444.1
00:00:22.600	436.4
00:00:22.800	430.7
00:00:23.000	429.9
00:00:23.200	423.9
00:00:23.400	418.7
00:00:23.600	412.5
00:00:23.800	407.5
00:00:24.000	402.4
00:00:24.200	402.3
00:00:24.400	398.0
00:00:24.600	392.0
00:00:24.800	392.0
00:00:25.000	384.7
00:00:25.200	375.0
00:00:25.400	374.1
00:00:25.600	368.5
00:00:25.800	361.6
00:00:26.000	446.8
00:00:26.200	462.4
00:00:26.400	455.0
00:00:26.600	460.2
00:00:26.800	457.3
00:00:27.000	453.8
00:00:27.200	445.7
00:00:27.400	441.0
00:00:27.600	437.0
00:00:27.800	426.3
00:00:28.000	421.0
00:00:28.200	416.9
00:00:28.400	409.7
00:00:28.600	407.9
00:00:28.800	404.3
00:00:29.000	397.2
00:00:29.200	392.4
00:00:29.400	388.1
00:00:29.600	380.0
00:00:29.800	371.8
00:00:30.000	371.2
00:00:30.200	364.9
00:00:30.400	355.7
00:00:30.600	356.1
00:00:30.800	353.0
00:00:31.000	352.7
00:00:31.200	355.6
00:00:31.400	363.5
00:00:31.600	362.9
00:00:31.800	360.2
00:00:32.000	359.3
00:00:32.200	355.4
00:00:32.400	351.6
00:00:32.600	354.3
00:00:32.800	353.2
00:00:33.000	349.2
00:00:33.200	353.5
00:00:33.400	350.8
00:00:33.600	343.4
00:00:33.800	345.3
00:00:34.000	342.4
00:00:34.200	336.9
00:00:34.400	339.0
00:00:34.600	351.3
00:00:34.800	360.1
00:00:35.000	377.3
00:00:35.200	431.1
00:00:35.400	469.4
00:00:35.600	511.3
00:00:35.800	526.2
00:00:36.000	552.3
00:00:36.200	572.9
00:00:36.400	625.4
00:00:36.600	660.3
00:00:36.800	676.8
00:00:37.000	680.8
00:00:37.200	674.4
00:00:37.400	678.7
00:00:37.600	682.9
00:00:37.800	683.1
00:00:38.000	683.8
00:00:38.200	685.3
00:00:38.400	687.3
00:00:38.600	747.8
00:00:38.800	763.1
00:00:39.000	811.0
00:00:39.200	851.9
00:00:39.400	893.6
00:00:39.600	928.3
00:00:39.800	960.6
00:00:40.000	948.5
00:00:40.200	931.3
